School Name,Start Date,End Date,Notes,Degree Name,Activities
Virginia Military Institute Department of History,,,,Doctorate of Science (PhD & D.Sc).,
Stanford University,,,,"Honorary Doctorate (D.Sc.),",
University of Wyoming,,,, Honorary Doctor of Philosophy (PhD) ,
University of Baghdad,,,,Honorary Doctorate (D.Sc.),
Massachusetts Institute of Technology,,,,Honorary Doctorate (D.Sc.),
The George Washington University,,,,Honorary Doctorate (D.Sc.),
Saint Petersburg State University,,,,Honorary Doctorate (D.Sc.),
